date,cpi
1970-01-01,15.06122
1970-04-01,15.24605
1970-07-01,15.38576
1970-10-01,15.55315
1971-01-01,15.76772
1971-04-01,15.99899
1971-07-01,16.20459
1971-10-01,16.42531
1972-01-01,16.62796
1972-04-01,16.866410000000002
1972-07-01,17.19267
1972-10-01,17.54475
1973-01-01,17.689610000000002
1973-04-01,18.02924
1973-07-01,18.44415
1973-10-01,18.89469
1974-01-01,19.38236
1974-04-01,20.1527
1974-07-01,20.8466
1974-10-01,21.55388
1975-01-01,22.1501
1975-04-01,22.71435
1975-07-01,23.23442
1975-10-01,23.73126
1976-01-01,24.27389
1976-04-01,24.76296
1976-07-01,25.34325
1976-10-01,25.89338
1977-01-01,26.20749
1977-04-01,26.93626
1977-07-01,27.56846
1977-10-01,28.1111
1978-01-01,28.5895
1978-04-01,29.43395
1978-07-01,30.14957
1978-10-01,30.830820000000003
1979-01-01,31.50004
1979-04-01,32.37172
1979-07-01,33.34787
1979-10-01,34.29581
1980-01-01,35.44655
1980-04-01,36.63921
1980-07-01,37.84847
1980-10-01,38.86675
1981-01-01,39.90356
1981-04-01,41.13562
1981-07-01,42.49257
1981-10-01,43.87673
1982-01-01,45.099
1982-04-01,46.43931
1982-07-01,47.00809
1982-10-01,47.73084
1983-01-01,49.15571
1983-04-01,50.57425
1983-07-01,51.63026
1983-10-01,52.55264
1984-01-01,53.45234
1984-04-01,54.45656999999999
1984-07-01,55.2676
1984-10-01,55.98732
1985-01-01,56.68578
1985-04-01,57.65836
1985-07-01,58.35072
1985-10-01,58.86809
1986-01-01,59.35764
1986-04-01,60.04536
1986-07-01,60.62962
1986-10-01,61.15039
1987-01-01,61.90091999999999
1987-04-01,62.56827
1987-07-01,62.97292
1987-10-01,63.3198
1988-01-01,63.73599
1988-04-01,64.41988
1988-07-01,65.00353
1988-10-01,65.44624
1989-01-01,65.89726999999999
1989-04-01,66.50389
1989-07-01,67.00731
1989-10-01,67.44248
1990-01-01,67.85042
1990-04-01,68.53829
1990-07-01,69.05632
1990-10-01,69.61017
1991-01-01,70.25155
1991-04-01,70.83398000000001
1991-07-01,71.3587
1991-10-01,71.98346
1992-01-01,72.5518
1992-04-01,73.18977
1992-07-01,73.65001
1992-10-01,74.03198
1993-01-01,74.65987
1993-04-01,75.21777
1993-07-01,75.48604
1993-10-01,75.79996
1994-01-01,76.20055
1994-04-01,76.60708000000001
1994-07-01,76.80001
1994-10-01,77.14827
1995-01-01,77.48874
1995-04-01,77.89925
1995-07-01,78.34843000000001
1995-10-01,78.86411
1996-01-01,79.33
1996-04-01,79.85619
1996-07-01,79.85757
1996-10-01,79.96471
1997-01-01,80.18412
1997-04-01,80.57996
1997-07-01,80.61192
1997-10-01,80.67113
1998-01-01,80.80283
1998-04-01,81.26241
1998-07-01,81.25182
1998-10-01,81.27387
1999-01-01,81.30502
1999-04-01,81.7714
1999-07-01,81.70212
1999-10-01,81.68732
2000-01-01,81.72936999999999
2000-04-01,82.00344
2000-07-01,82.10343
2000-10-01,82.28539
2001-01-01,82.39474
2001-04-01,82.97084
2001-07-01,83.18826
2001-10-01,83.45535
2002-01-01,83.98101
2002-04-01,84.63428
2002-07-01,85.07507
2002-10-01,85.35783
2003-01-01,85.78177
2003-04-01,86.33663
2003-07-01,86.55105999999999
2003-10-01,87.30649
2004-01-01,87.76201999999999
2004-04-01,88.34716999999999
2004-07-01,88.67719
2004-10-01,88.92175
2005-01-01,88.985
2005-04-01,89.58766999999999
2005-07-01,89.68755
2005-10-01,89.88747
2006-01-01,89.95708
2006-04-01,90.59326
2006-07-01,90.74084
2006-10-01,91.02431
2007-01-01,91.15713
2007-04-01,91.86909
2007-07-01,92.09556
2007-10-01,92.51711
2008-01-01,92.62994
2008-04-01,93.36407
2008-07-01,93.48774
2008-10-01,93.83607
2009-01-01,93.97172
2009-04-01,94.6966
2009-07-01,94.74125
2009-10-01,94.83323
2010-01-01,94.95556
2010-04-01,95.45934
2010-07-01,95.55788
2010-10-01,95.68238
2011-01-01,95.72421
2011-04-01,96.59303
2011-07-01,96.51717
2011-10-01,97.01534
2012-01-01,97.13602
2012-04-01,98.02185
2012-07-01,97.9806
2012-10-01,98.10143
2013-01-01,97.99454
2013-04-01,98.69355
2013-07-01,98.83022
2013-10-01,98.90782
2014-01-01,99.03912
2014-04-01,99.71256
2014-07-01,99.73571
2014-10-01,99.58746
2015-01-01,99.33698
2015-04-01,100.2388
2015-07-01,100.2627
2015-10-01,100.1615
2016-01-01,99.8588
2016-04-01,100.6405
2016-07-01,100.6298
2016-10-01,100.5343
2017-01-01,100.2012
2017-04-01,101.1233
2017-07-01,101.2082
2017-10-01,101.2249
2018-01-01,101.2115
2018-04-01,102.2991
2018-07-01,102.3606
2018-10-01,102.1469
2019-01-01,101.9189
2019-04-01,102.9597
2019-07-01,103.1221
2019-10-01,103.2191
2020-01-01,103.0929
2020-04-01,103.7216
2020-07-01,104.2195
2020-10-01,103.8257
2021-01-01,104.0102
2021-04-01,104.6189
2021-07-01,104.9707
2021-10-01,105.2271
2022-01-01,105.8456
2022-04-01,107.4579
2022-07-01,108.4544
2022-10-01,108.7093
2023-01-01,109.5565
2023-04-01,111.4784
2023-07-01,112.0752
2023-10-01,111.8619
2024-01-01,112.4015
2024-04-01,113.856
2024-07-01,114.2727
2024-10-01,113.7042
