date,cpi
1957-01-01,11.78174
1957-04-01,11.89172
1957-07-01,11.96046
1957-10-01,12.09794
1958-01-01,12.13918
1958-04-01,12.16668
1958-07-01,12.20792
1958-10-01,12.30415
1959-01-01,12.3454
1959-04-01,12.40039
1959-07-01,12.46912
1959-10-01,12.57911
1960-01-01,12.6066
1960-04-01,12.62035
1960-07-01,12.62035
1960-10-01,12.70284
1961-01-01,12.70284
1961-04-01,12.74408
1961-07-01,12.79907
1961-10-01,12.86781
1962-01-01,12.88155
1962-04-01,12.93655
1962-07-01,12.96404
1962-10-01,13.03278
1963-01-01,13.00528
1963-04-01,13.08777
1963-07-01,13.14276
1963-10-01,13.22525
1964-01-01,13.25274
1964-04-01,13.29398
1964-07-01,13.30773
1964-10-01,13.39022
1965-01-01,13.44521
1965-04-01,13.48645
1965-07-01,13.5002
1965-10-01,13.58269
1966-01-01,13.61018
1966-04-01,13.77515
1966-07-01,13.898879999999998
1966-10-01,14.05011
1967-01-01,14.1051
1967-04-01,14.22882
1967-07-01,14.3663
1967-10-01,14.55877
1968-01-01,14.69625
1968-04-01,14.86122
1968-07-01,15.067429999999998
1968-10-01,15.28739
1969-01-01,15.47986
1969-04-01,15.75482
1969-07-01,15.94728
1969-10-01,16.20849
1970-01-01,16.42845
1970-04-01,16.71715
1970-07-01,16.93711
1970-10-01,17.26706
1971-01-01,17.37704
1971-04-01,17.55576
1971-07-01,17.72073
1971-10-01,17.85821
1972-01-01,17.94069
1972-04-01,18.09192
1972-07-01,18.24314
1972-10-01,18.39437
1973-01-01,18.44936
1973-04-01,18.669320000000003
1973-07-01,18.86179
1973-10-01,19.21922
1974-01-01,19.43919
1974-04-01,19.97535
1974-07-01,20.66273
1974-10-01,21.32262
1975-01-01,21.68006
1975-04-01,22.06499
1975-07-01,22.38119
1975-10-01,22.779870000000003
1976-01-01,23.10981
1976-04-01,23.49475
1976-07-01,23.89343
1976-10-01,24.250870000000003
1977-01-01,24.553320000000003
1977-04-01,25.00699
1977-07-01,25.37818
1977-10-01,25.73561
1978-01-01,26.1068
1978-04-01,26.69795
1978-07-01,27.30285
1978-10-01,27.92149
1979-01-01,28.45765
1979-04-01,29.20002
1979-07-01,29.98364
1979-10-01,30.90473
1980-01-01,31.92206
1980-04-01,33.07686
1980-07-01,33.599270000000004
1980-10-01,34.67159
1981-01-01,35.34523
1981-04-01,36.19758
1981-07-01,37.46236
1981-10-01,38.21849
1982-01-01,38.54843
1982-04-01,39.34579
1982-07-01,40.01943
1982-10-01,40.21189
1983-01-01,40.36312
1983-04-01,40.7618
1983-07-01,41.28421
1983-10-01,41.93036
1984-01-01,42.32904
1984-04-01,42.8377
1984-07-01,43.37386
1984-10-01,43.92376
1985-01-01,44.29495
1985-04-01,44.76237
1985-07-01,45.1473
1985-10-01,45.807190000000006
1986-01-01,46.16463
1986-04-01,46.56331
1986-07-01,46.98949
1986-10-01,47.56689
1987-01-01,47.93808
1987-04-01,48.48799
1987-07-01,48.94166
1987-10-01,49.62904
1988-01-01,50.01398
1988-04-01,50.60513
1988-07-01,51.11379
1988-10-01,51.86991
1989-01-01,52.36483
1989-04-01,52.90099
1989-07-01,53.38215
1989-10-01,54.12453000000001
1990-01-01,54.81191
1990-04-01,55.45805
1990-07-01,56.24166
1990-10-01,56.95654
1991-01-01,57.82265
1991-04-01,58.27632
1991-07-01,58.85372
1991-10-01,59.48611
1992-01-01,60.06351
1992-04-01,60.51719
1992-07-01,60.91587
1992-10-01,61.52076
1993-01-01,62.15316
1993-04-01,62.579330000000006
1993-07-01,62.89553000000001
1993-10-01,63.41794
1994-01-01,63.94035
1994-04-01,64.35278000000001
1994-07-01,64.73772
1994-10-01,65.17764
1995-01-01,65.81004
1995-04-01,66.3187
1995-07-01,66.64864
1995-10-01,67.1573
1996-01-01,67.70721
1996-04-01,68.09215
1996-07-01,68.42209
1996-10-01,68.90326
1997-01-01,69.39817
1997-04-01,69.82435
1997-07-01,69.98931999999999
1997-10-01,70.42924000000001
1998-01-01,70.92416
1998-04-01,71.36409
1998-07-01,71.66653000000001
1998-10-01,72.07896
1999-01-01,72.47765
1999-04-01,72.86258000000001
1999-07-01,73.09629
1999-10-01,73.53622
2000-01-01,74.07236999999999
2000-04-01,74.62228
2000-07-01,74.96597
2000-10-01,75.41965
2001-01-01,76.05204
2001-04-01,76.57445
2001-07-01,76.97313
2001-10-01,77.46805
2002-01-01,77.97671
2002-04-01,78.44413
2002-07-01,78.71909000000001
2002-10-01,79.04903
2003-01-01,79.36523000000001
2003-04-01,79.64017
2003-07-01,79.77766
2003-10-01,79.98387
2004-01-01,80.42379
2004-04-01,81.05618
2004-07-01,81.22116
2004-10-01,81.67483
2005-01-01,82.29347
2005-04-01,82.80214000000001
2005-07-01,82.91212
2005-10-01,83.40704000000001
2006-01-01,84.01193
2006-04-01,84.83679000000001
