date,country,cpi
1955-01-01,Japan,16.59516
1955-04-01,Japan,16.62315
1955-07-01,Japan,16.63715
1955-10-01,Japan,16.51848
1956-01-01,Japan,16.522560000000002
1956-04-01,Japan,16.7279
1956-07-01,Japan,16.7394
1956-10-01,Japan,16.74338
1957-01-01,Japan,16.79279
1957-01-01,United States,11.78174
1957-04-01,Japan,17.052529999999997
1957-04-01,United States,11.89172
1957-07-01,Japan,17.24845
1957-07-01,United States,11.96046
1957-10-01,Japan,16.98636
1957-10-01,United States,12.09794
1958-01-01,Japan,16.87473
1958-01-01,United States,12.13918
1958-04-01,Japan,16.97748
1958-04-01,United States,12.16668
1958-07-01,Japan,17.12165
1958-07-01,United States,12.20792
1958-10-01,Japan,17.11609
1958-10-01,United States,12.30415
1959-01-01,Japan,17.04509
1959-01-01,United States,12.3454
1959-04-01,Japan,17.19479
1959-04-01,United States,12.40039
1959-07-01,Japan,17.39419
1959-07-01,United States,12.46912
1959-10-01,Japan,17.50617
1959-10-01,United States,12.57911
1960-01-01,Japan,17.62088
1960-01-01,United States,12.6066
1960-04-01,Japan,17.79504
1960-04-01,United States,12.62035
1960-07-01,Japan,17.896829999999998
1960-07-01,United States,12.62035
1960-10-01,Japan,17.99452
1960-10-01,United States,12.70284
1961-01-01,Canada,13.20813
1961-01-01,Japan,18.25055
1961-01-01,United States,12.70284
1961-04-01,Canada,13.22873
1961-04-01,Japan,18.47851
1961-04-01,United States,12.74408
1961-07-01,Canada,13.21085
1961-07-01,Japan,18.89144
1961-07-01,United States,12.79907
1961-10-01,Canada,13.22186
1961-10-01,Japan,19.46637
1961-10-01,United States,12.86781
1962-01-01,Canada,13.19984
1962-01-01,Germany,24.41091
1962-01-01,Japan,19.68741
1962-01-01,United States,12.88155
1962-04-01,Canada,13.33614
1962-04-01,Germany,24.51248
1962-04-01,Japan,19.98434
1962-04-01,United States,12.93655
1962-07-01,Canada,13.40531
1962-07-01,Germany,24.5172
1962-07-01,Japan,20.20363
1962-07-01,United States,12.96404
1962-10-01,Canada,13.48169
1962-10-01,Germany,24.63917
1962-10-01,Japan,20.4364
1962-10-01,United States,13.03278
1963-01-01,Canada,13.45815
1963-01-01,Germany,25.18334
1963-01-01,Japan,20.98256
1963-01-01,United States,13.00528
1963-04-01,Canada,13.45684
1963-04-01,Germany,25.22695
1963-04-01,Japan,21.41145
1963-04-01,United States,13.08777
1963-07-01,Canada,13.65947
1963-07-01,Germany,25.15355
1963-07-01,Japan,21.56913
1963-07-01,United States,13.14276
1963-10-01,Canada,13.71712
1963-10-01,Germany,25.43461
1963-10-01,Japan,21.70176
1963-10-01,United States,13.22525
1964-01-01,Canada,13.74435
1964-01-01,Germany,25.75293
1964-01-01,Japan,21.79481
1964-01-01,United States,13.25274
1964-04-01,Canada,13.83292
1964-04-01,Germany,25.782770000000003
1964-04-01,Japan,22.22788
1964-04-01,United States,13.29398
1964-07-01,Canada,13.88967
1964-07-01,Germany,25.81615
1964-07-01,Japan,22.37988
1964-07-01,United States,13.30773
1964-10-01,Canada,13.98165
1964-10-01,Germany,26.06742
1964-10-01,Japan,22.89091
1964-10-01,United States,13.39022
1965-01-01,Canada,14.027829999999998
1965-01-01,Germany,26.33987
1965-01-01,Japan,23.25819
1965-01-01,United States,13.44521
1965-04-01,Canada,14.16107
1965-04-01,Germany,26.59542
1965-04-01,Japan,23.7944
1965-04-01,United States,13.48645
1965-07-01,Canada,14.25463
1965-07-01,Germany,26.793090000000003
1965-07-01,Japan,23.88275
1965-07-01,United States,13.5002
1965-10-01,Canada,14.35563
1965-10-01,Germany,27.05581
1965-10-01,Japan,24.39245
1965-10-01,United States,13.58269
1966-01-01,Canada,14.49397
1966-01-01,Germany,27.42482
1966-01-01,Japan,24.75428
1966-01-01,United States,13.61018
1966-04-01,Canada,14.68723
1966-04-01,Germany,27.71375
1966-04-01,Japan,25.23453
1966-04-01,United States,13.77515
1966-07-01,Canada,14.78636
1966-07-01,Germany,27.70933
1966-07-01,Japan,25.32181
1966-07-01,United States,13.898879999999998
1966-10-01,Canada,14.88366
1966-10-01,Germany,27.97038
1966-10-01,Japan,25.5586
1966-10-01,United States,14.05011
1967-01-01,Canada,15.0081
1967-01-01,Germany,28.21644
1967-01-01,Japan,25.9496
1967-01-01,United States,14.1051
1967-04-01,Canada,15.25377
1967-04-01,Germany,28.354190000000003
1967-04-01,Japan,26.10788
1967-04-01,United States,14.22882
1967-07-01,Canada,15.44232
1967-07-01,Germany,28.29348
1967-07-01,Japan,26.22172
1967-07-01,United States,14.3663
1967-10-01,Canada,15.54639
1967-10-01,Germany,28.3977
1967-10-01,Japan,26.9525
1967-10-01,United States,14.55877
1968-01-01,Canada,15.70696
1968-01-01,Germany,28.70831
1968-01-01,Japan,27.31107
1968-01-01,United States,14.69625
1968-04-01,Canada,15.79848
1968-04-01,Germany,28.78692
1968-04-01,Japan,27.5745
1968-04-01,United States,14.86122
1968-07-01,Canada,16.07333
1968-07-01,Germany,28.78363
1968-07-01,Japan,27.8222
1968-07-01,United States,15.067429999999998
1968-10-01,Canada,16.23697
1968-10-01,Germany,28.9527
1968-10-01,Japan,28.34221
1968-10-01,United States,15.28739
1969-01-01,Canada,16.32282
1969-01-01,Germany,29.21635
1969-01-01,Japan,28.46051
1969-01-01,New Zealand,6.211192
1969-01-01,United States,15.47986
1969-04-01,Canada,16.694760000000002
1969-04-01,Germany,29.35061
1969-04-01,Japan,29.04295
1969-04-01,New Zealand,6.274564
1969-04-01,United States,15.75482
1969-07-01,Canada,16.86731
1969-07-01,Germany,29.37082
1969-07-01,Japan,29.61891
1969-07-01,New Zealand,6.338483999999999
1969-07-01,United States,15.94728
1969-10-01,Canada,16.98215
1969-10-01,Germany,29.536590000000004
1969-10-01,Japan,30.08442
1969-10-01,New Zealand,6.385554
1969-10-01,United States,16.20849
1970-01-01,Canada,17.17955
1970-01-01,France,15.06122
1970-01-01,Germany,30.10495
1970-01-01,Japan,30.9949
1970-01-01,New Zealand,6.521818
1970-01-01,Sweden,14.27194
1970-01-01,United Kingdom,8.957927999999999
1970-01-01,United States,16.42845
1970-04-01,Canada,17.25722
1970-04-01,France,15.24605
1970-04-01,Germany,30.39742
1970-04-01,Japan,31.58975
1970-04-01,New Zealand,6.614242
1970-04-01,Sweden,14.46813
1970-04-01,United Kingdom,9.201619
1970-04-01,United States,16.71715
1970-07-01,Canada,17.42773
1970-07-01,France,15.38576
1970-07-01,Germany,30.4568
1970-07-01,Japan,31.84362
1970-07-01,New Zealand,6.740664
1970-07-01,Sweden,14.65244
1970-07-01,United Kingdom,9.345517999999998
1970-07-01,United States,16.93711
1970-10-01,Canada,17.41524
1970-10-01,France,15.55315
1970-10-01,Germany,30.78182
1970-10-01,Japan,32.642959999999995
1970-10-01,New Zealand,7.0315330000000005
1970-10-01,Sweden,14.87676
1970-10-01,United Kingdom,9.531077
1970-10-01,United States,17.26706
1971-01-01,Canada,17.50534
1971-01-01,France,15.76772
1971-01-01,Germany,31.50317
1971-01-01,Japan,33.08805
1971-01-01,New Zealand,7.214094999999999
1971-01-01,Sweden,15.42158
1971-01-01,United Kingdom,9.762148
1971-01-01,United States,17.37704
1971-04-01,Australia,9.746926
1971-04-01,Canada,17.68473
1971-04-01,France,15.99899
1971-04-01,Germany,31.99036
1971-04-01,Japan,33.89133
1971-04-01,New Zealand,7.396507000000001
1971-04-01,Sweden,15.4004
1971-04-01,United Kingdom,10.08718
1971-04-01,United States,17.55576
1971-07-01,Australia,10.08179
1971-07-01,Canada,17.968729999999997
1971-07-01,France,16.20459
1971-07-01,Germany,32.334109999999995
1971-07-01,Japan,34.24935
1971-07-01,New Zealand,7.545145
1971-07-01,Sweden,15.58942
1971-07-01,United Kingdom,10.22542
1971-07-01,United States,17.72073
1971-10-01,Australia,10.2738
1971-10-01,Canada,18.11211
1971-10-01,France,16.42531
1971-10-01,Germany,32.63596
1971-10-01,Japan,34.70005
1971-10-01,New Zealand,7.719282000000001
1971-10-01,Sweden,15.88234
1971-10-01,United Kingdom,10.3354
1971-10-01,United States,17.85821
1972-01-01,Australia,10.37534
1972-01-01,Canada,18.31331
1972-01-01,France,16.62796
1972-01-01,Germany,33.25904
1972-01-01,Japan,34.968309999999995
1972-01-01,New Zealand,7.87334
