date,value,country,series_type
1971-04-01,9.746926,Australia,CPI
1971-07-01,10.08179,Australia,CPI
1971-10-01,10.2738,Australia,CPI
1972-01-01,10.37534,Australia,CPI
1972-04-01,10.49454,Australia,CPI
1972-07-01,10.68812,Australia,CPI
1972-10-01,10.77776,Australia,CPI
1973-01-01,10.93323,Australia,CPI
1973-04-01,11.30815,Australia,CPI
1973-07-01,11.63788,Australia,CPI
1973-10-01,11.98604,Australia,CPI
1974-01-01,12.37278,Australia,CPI
1974-04-01,12.85827,Australia,CPI
1974-07-01,13.60084,Australia,CPI
1974-10-01,14.18561,Australia,CPI
1975-01-01,14.78958,Australia,CPI
1975-04-01,15.26769,Australia,CPI
1975-07-01,15.34649,Australia,CPI
1975-10-01,16.26792,Australia,CPI
1976-01-01,16.6979,Australia,CPI
1976-04-01,17.17435,Australia,CPI
1976-07-01,17.58333,Australia,CPI
1976-10-01,18.75256,Australia,CPI
1977-01-01,19.14657,Australia,CPI
1977-04-01,19.667820000000003,Australia,CPI
1977-07-01,19.99165,Australia,CPI
1977-10-01,20.43228,Australia,CPI
1978-01-01,20.79031,Australia,CPI
1978-04-01,21.10798,Australia,CPI
1978-07-01,21.47632,Australia,CPI
1978-10-01,21.78145,Australia,CPI
1979-01-01,22.0996,Australia,CPI
1979-04-01,22.51518,Australia,CPI
1979-07-01,23.03583,Australia,CPI
1979-10-01,23.66017,Australia,CPI
1980-01-01,24.0514,Australia,CPI
1980-04-01,24.71603,Australia,CPI
1980-07-01,25.13733,Australia,CPI
1980-10-01,25.67608,Australia,CPI
1981-01-01,26.15485,Australia,CPI
1981-04-01,26.69441,Australia,CPI
1981-07-01,27.2579,Australia,CPI
1981-10-01,28.520390000000003,Australia,CPI
1982-01-01,29.21814,Australia,CPI
1982-04-01,29.93579,Australia,CPI
1982-07-01,30.8382,Australia,CPI
1982-10-01,31.83371,Australia,CPI
1983-01-01,32.48788,Australia,CPI
1983-04-01,33.103790000000004,Australia,CPI
1983-07-01,33.604,Australia,CPI
1983-10-01,34.4888,Australia,CPI
1984-01-01,34.18761,Australia,CPI
1984-04-01,34.337709999999994,Australia,CPI
1984-07-01,34.73547,Australia,CPI
1984-10-01,35.24098,Australia,CPI
1985-01-01,35.72007,Australia,CPI
1985-04-01,36.51204,Australia,CPI
1985-07-01,37.39148,Australia,CPI
1985-10-01,38.24237,Australia,CPI
1986-01-01,39.13538,Australia,CPI
1986-04-01,40.01373,Australia,CPI
1986-07-01,40.95923,Australia,CPI
1986-10-01,42.14304,Australia,CPI
1987-01-01,43.12073,Australia,CPI
1987-04-01,44.03,Australia,CPI
1987-07-01,44.83096,Australia,CPI
1987-10-01,45.58626,Australia,CPI
1988-01-01,46.39696,Australia,CPI
1988-04-01,47.29076,Australia,CPI
1988-07-01,48.07576,Australia,CPI
1988-10-01,49.19639,Australia,CPI
1989-01-01,49.64909,Australia,CPI
1989-04-01,50.75236,Australia,CPI
1989-07-01,51.85892,Australia,CPI
1989-10-01,52.9265,Australia,CPI
1990-01-01,54.01592,Australia,CPI
1990-04-01,54.81462,Australia,CPI
1990-07-01,55.30265,Australia,CPI
1990-10-01,56.411640000000006,Australia,CPI
1991-01-01,56.54247,Australia,CPI
