date,value
1961-01-01,10150000000.0
1961-04-01,10374000000.0
1961-07-01,10651000000.0
1961-10-01,10851000000.0
1962-01-01,11156000000.0
1962-04-01,11283000000.0
1962-07-01,11517000000.0
1962-10-01,11783000000.0
1963-01-01,11896000000.0
1963-04-01,12139000000.0
1963-07-01,12338000000.0
1963-10-01,12840000000.0
1964-01-01,13144000000.0
1964-04-01,13355000000.0
1964-07-01,13645000000.0
1964-10-01,13831000000.0
1965-01-01,14317000000.0
1965-04-01,14664000000.0
1965-07-01,15016000000.0
1965-10-01,15554000000.0
1966-01-01,16079999999.999998
1966-04-01,16622000000.0
1966-07-01,16841000000.000002
1966-10-01,17161999999.999998
1967-01-01,17371000000.0
1967-04-01,17936000000.0
1967-07-01,18095000000.0
1967-10-01,18410000000.0
1968-01-01,18829000000.0
1968-04-01,19413000000.0
1968-07-01,19862000000.0
1968-10-01,20370000000.0
1969-01-01,20949000000.0
1969-04-01,21369000000.0
1969-07-01,21785000000.0
1969-10-01,22327000000.0
1970-01-01,22844000000.0
1970-04-01,23056000000.0
1970-07-01,23524000000.0
1970-10-01,23729000000.0
1971-01-01,24072000000.0
1971-04-01,25078000000.0
1971-07-01,25906000000.0
1971-10-01,26609000000.0
1972-01-01,27037000000.0
1972-04-01,28066000000.0
1972-07-01,28596000000.0
1972-10-01,29822000000.0
1973-01-01,31189000000.0
1973-04-01,32509999999.999996
1973-07-01,33631000000.0
1973-10-01,35636000000.0
1974-01-01,37325000000.0
1974-04-01,38990000000.0
1974-07-01,40561000000.0
1974-10-01,41300000000.0
1975-01-01,41861000000.0
1975-04-01,43406000000.0
1975-07-01,45554000000.0
1975-10-01,47107000000.0
1976-01-01,49062000000.0
1976-04-01,51563000000.0
1976-07-01,52112000000.0
1976-10-01,53249000000.0
1977-01-01,54978000000.0
1977-04-01,56202000000.0
1977-07-01,57431000000.0
1977-10-01,58990000000.0
1978-01-01,60330000000.0
1978-04-01,62171000000.0
1978-07-01,63801000000.0
1978-10-01,65772999999.99999
1979-01-01,67849999999.99999
1979-04-01,71043000000.0
1979-07-01,73230000000.0
1979-10-01,75485000000.0
1980-01-01,77446000000.0
1980-04-01,79307000000.0
1980-07-01,81191000000.0
1980-10-01,84838000000.0
1981-01-01,88998000000.0
1981-04-01,91998000000.0
1981-07-01,93205000000.0
1981-10-01,94157000000.0
1982-01-01,95751000000.0
1982-04-01,96629000000.0
1982-07-01,97390000000.0
1982-10-01,98411000000.0
1983-01-01,100809000000.0
1983-04-01,103951000000.0
1983-07-01,107240000000.0
1983-10-01,109316000000.0
1984-01-01,111960000000.0
1984-04-01,114888000000.0
1984-07-01,116295000000.0
1984-10-01,118843000000.0
1985-01-01,121524000000.0
1985-04-01,123838000000.0
1985-07-01,125968000000.0
1985-10-01,128697000000.0
1986-01-01,129652999999.99998
1986-04-01,130961000000.00002
1986-07-01,132555000000.0
1986-10-01,133461000000.00002
1987-01-01,138121000000.0
1987-04-01,141855000000.0
1987-07-01,145420000000.0
1987-10-01,148940000000.0
1988-01-01,152737000000.0
1988-04-01,155292000000.0
