date,value
1993-01-01,554473.8
1993-04-01,559540.9
1993-07-01,563361.9
1993-10-01,565470.5
1994-01-01,572120.5
1994-04-01,579055.0
1994-07-01,583858.0
1994-10-01,594237.7
1995-01-01,602332.7
1995-04-01,606088.6
1995-07-01,607712.7
1995-10-01,614064.2
1996-01-01,618833.0
1996-04-01,613246.8
1996-07-01,617246.4
1996-10-01,622635.7
1997-01-01,626147.4
1997-04-01,635840.9
1997-07-01,640073.6
1997-10-01,650692.6
1998-01-01,654133.6
1998-04-01,661258.7
1998-07-01,667796.1
1998-10-01,675830.1
1999-01-01,681540.8
1999-04-01,685018.5
1999-07-01,694128.2
1999-10-01,703651.3
2000-01-01,706157.1
2000-04-01,725227.4
2000-07-01,732656.7
2000-10-01,733289.7
2001-01-01,734515.8
2001-04-01,730394.7
2001-07-01,736486.7
2001-10-01,740276.6
2002-01-01,746440.3
2002-04-01,754303.7
2002-07-01,753267.8
2002-10-01,753970.8
2003-01-01,762516.7
2003-04-01,762143.5
2003-07-01,768542.5
2003-10-01,774511.9
2004-01-01,785918.2
2004-04-01,792114.3
2004-07-01,798452.7
2004-10-01,802976.8
2005-01-01,805584.7
2005-04-01,812456.7
2005-07-01,823630.3
2005-10-01,826465.5
2006-01-01,840833.5
2006-04-01,853825.4
2006-07-01,862049.7
2006-10-01,871928.8
2007-01-01,875659.4
2007-04-01,884565.6
2007-07-01,887782.5
2007-10-01,896359.7
2008-01-01,890617.0
2008-04-01,888016.9
2008-07-01,880585.1
2008-10-01,847232.0
2009-01-01,838912.6
2009-04-01,840285.6
2009-07-01,838623.5
2009-10-01,842238.5
2010-01-01,855867.4
2010-04-01,884447.6
2010-07-01,896818.5
2010-10-01,905931.6
2011-01-01,911375.3
2011-04-01,917663.8
2011-07-01,922082.9
2011-10-01,906021.4
2012-01-01,910845.0
2012-04-01,913573.7
2012-07-01,917411.9
2012-10-01,912361.8
2013-01-01,916646.9
2013-04-01,918343.8
2013-07-01,925603.8
2013-10-01,934350.5
2014-01-01,937533.3
2014-04-01,942070.5
2014-07-01,949211.6
2014-10-01,955873.7
2015-01-01,967811.2
2015-04-01,985044.6
2015-07-01,988561.1
2015-10-01,998774.3
2016-01-01,998970.0
2016-04-01,1005630.2
2016-07-01,1008799.3
2016-10-01,1010305.9
2017-01-01,1018996.2
2017-04-01,1022395.1
2017-07-01,1029183.2
2017-10-01,1036584.2
2018-01-01,1039427.7
2018-04-01,1047080.4
2018-07-01,1045660.3
2018-10-01,1057378.3
2019-01-01,1064395.5
2019-04-01,1074212.0
2019-07-01,1074099.2
2019-10-01,1084263.5
2020-01-01,1087405.7
2020-04-01,999096.5
2020-07-01,1047557.4
2020-10-01,1068560.6
2021-01-01,1095818.0
2021-04-01,1104927.4
2021-07-01,1109336.8
2021-10-01,1133663.4
2022-01-01,1121028.4
2022-04-01,1132505.8
2022-07-01,1134264.3
2022-10-01,1125139.8
2023-01-01,1134694.0
2023-04-01,1129316.9
2023-07-01,1130768.0
2023-10-01,1123076.9
2024-01-01,1135201.0
2024-04-01,1135725.2
2024-07-01,1141197.0
2024-10-01,1147793.4
2025-01-01,1147919.3
