date,value
1991-01-01,376230.0
1991-04-01,391640.0
1991-07-01,399530.0
1991-10-01,424210.0
1992-01-01,411120.0
1992-04-01,418620.0
1992-07-01,431310.0
1992-10-01,448840.0
1993-01-01,419160.0
1993-04-01,432980.0
1993-07-01,443830.0
1993-10-01,461370.0
1994-01-01,440830.0
1994-04-01,450590.0
1994-07-01,463200.0
1994-10-01,483400.0
1995-01-01,457860.0
1995-04-01,466920.0
1995-07-01,479360.0
1995-10-01,495790.0
1996-01-01,463790.0
1996-04-01,472570.0
1996-07-01,487610.0
1996-10-01,504590.0
1997-01-01,466600.0
1997-04-01,486220.0
1997-07-01,499230.0
1997-10-01,515130.0
1998-01-01,488270.0
1998-04-01,494640.0
1998-07-01,511770.0
1998-10-01,527630.0
1999-01-01,500310.0
1999-04-01,508470.0
1999-07-01,526500.0
1999-10-01,541960.0
2000-01-01,519980.0
2000-04-01,524390.0
2000-07-01,537700.0
2000-10-01,547590.0
2001-01-01,536830.0
2001-04-01,538240.0
2001-07-01,553540.0
2001-10-01,566920.0
2002-01-01,537180.0
2002-04-01,546090.0
2002-07-01,567130.0
2002-10-01,572960.0
2003-01-01,543460.0
2003-04-01,547960.0
2003-07-01,571480.0
2003-10-01,577910.0
2004-01-01,558360.0
2004-04-01,566570.0
2004-07-01,579230.0
2004-10-01,588880.0
2005-01-01,560710.0
2005-04-01,576060.0
2005-07-01,589030.0
2005-10-01,599910.0
2006-01-01,586210.0
2006-04-01,594160.0
2006-07-01,612830.0
2006-10-01,632980.0
2007-01-01,621550.0
2007-04-01,622790.0
2007-07-01,641640.0
2007-10-01,656240.0
2008-01-01,639610.0
2008-04-01,646560.0
2008-07-01,653190.0
2008-10-01,650320.0
2009-01-01,607620.0
2009-04-01,608290.0
2009-07-01,631060.0
2009-10-01,647900.0
2010-01-01,630080.0
2010-04-01,639310.0
2010-07-01,665210.0
2010-10-01,681460.0
2011-01-01,674480.0
2011-04-01,673940.0
2011-07-01,695280.0
2011-10-01,704110.0
2012-01-01,694720.0
2012-04-01,685510.0
2012-07-01,706280.0
2012-10-01,713870.0
2013-01-01,698160.0
2013-04-01,706310.0
2013-07-01,728230.0
2013-10-01,734580.0
2014-01-01,733120.0
2014-04-01,731020.0
2014-07-01,754310.0
2014-10-01,766720.0
2015-01-01,754180.0
2015-04-01,755840.0
2015-07-01,780070.0
2015-10-01,795560.0
2016-01-01,782080.0
2016-04-01,792910.0
2016-07-01,803380.0
2016-10-01,817740.0
2017-01-01,819420.0
2017-04-01,815140.0
2017-07-01,838760.0
2017-10-01,857790.0
2018-01-01,845440.0
2018-04-01,847260.0
2018-07-01,856910.0
2018-10-01,881520.0
2019-01-01,873090.0
2019-04-01,865820.0
2019-07-01,891830.0
2019-10-01,904140.0
2020-01-01,881220.0
2020-04-01,794870.0
2020-07-01,871240.0
2020-10-01,902290.0
2021-01-01,885320.0
2021-04-01,895500.0
2021-07-01,931310.0
2021-10-01,964330.0
2022-01-01,963760.0
2022-04-01,967070.0
2022-07-01,995320.0
2022-10-01,1027700.0
2023-01-01,1034140.0
2023-04-01,1024060.0
2023-07-01,1048710.0
2023-10-01,1078640.0
2024-01-01,1064830.0
2024-04-01,1060790.0
2024-07-01,1078220.0
2024-10-01,1101420.0
