date,value
1975-01-01,
1975-04-01,
1975-07-01,
1975-10-01,
1976-01-01,
1976-04-01,
1976-07-01,
1976-10-01,
1977-01-01,
1977-04-01,
1977-07-01,
1977-10-01,
1978-01-01,
1978-04-01,
1978-07-01,
1978-10-01,
1979-01-01,
1979-04-01,
1979-07-01,
1979-10-01,
1980-01-01,107686.5
1980-04-01,110396.0
1980-07-01,113503.7
1980-10-01,115757.9
1981-01-01,119402.8
1981-04-01,123406.2
1981-07-01,128109.2
1981-10-01,133648.4
1982-01-01,139087.6
1982-04-01,143762.6
1982-07-01,146461.6
1982-10-01,149612.3
1983-01-01,154297.5
1983-04-01,158577.7
1983-07-01,163049.3
1983-10-01,166615.7
1984-01-01,170501.0
1984-04-01,173579.6
1984-07-01,176904.2
1984-10-01,178514.9
1985-01-01,181874.3
1985-04-01,186085.3
1985-07-01,189337.4
1985-10-01,192844.9
1986-01-01,196752.7
1986-04-01,200579.0
1986-07-01,204270.7
1986-10-01,206316.8
1987-01-01,206767.0
1987-04-01,210551.0
1987-07-01,213721.3
1987-10-01,218079.9
1988-01-01,222748.5
1988-04-01,226293.3
1988-07-01,231756.3
1988-10-01,236313.4
1989-01-01,241151.2
1989-04-01,244730.1
1989-07-01,249282.4
1989-10-01,254436.7
1990-01-01,257330.8
1990-04-01,260765.6
1990-07-01,262308.5
1990-10-01,264098.4
1991-01-01,266142.7
1991-04-01,269870.6
1991-07-01,272521.9
1991-10-01,275248.0
1992-01-01,279385.1
1992-04-01,279894.5
1992-07-01,280867.3
1992-10-01,281185.0
1993-01-01,282441.1
1993-04-01,283005.3
1993-07-01,283615.6
1993-10-01,285211.3
1994-01-01,287631.9
1994-04-01,291602.2
1994-07-01,294652.1
1994-10-01,298430.3
1995-01-01,300395.5
1995-04-01,303301.8
1995-07-01,304874.1
1995-10-01,306338.4
1996-01-01,309767.1
1996-04-01,311119.7
1996-07-01,312537.2
1996-10-01,314009.3
1997-01-01,316241.6
1997-04-01,320621.8
1997-07-01,324435.2
1997-10-01,328812.4
1998-01-01,333037.2
1998-04-01,336048.5
1998-07-01,337701.9
1998-10-01,340163.4
1999-01-01,342826.4
1999-04-01,345436.3
1999-07-01,350361.2
1999-10-01,355431.0
2000-01-01,361884.8
2000-04-01,366422.2
2000-07-01,371700.9
2000-10-01,375387.1
2001-01-01,379155.5
2001-04-01,381416.2
2001-07-01,384982.2
2001-10-01,385721.2
2002-01-01,390177.1
2002-04-01,393527.6
2002-07-01,397247.7
2002-10-01,399418.8
2003-01-01,401524.7
2003-04-01,402206.5
2003-07-01,408906.3
2003-10-01,412143.2
2004-01-01,417897.0
2004-04-01,420745.8
2004-07-01,424058.9
2004-10-01,430245.4
2005-01-01,433375.0
2005-04-01,437219.8
2005-07-01,442430.5
2005-10-01,447490.9
2006-01-01,452764.9
2006-04-01,460276.6
2006-07-01,464930.9
2006-10-01,470131.6
2007-01-01,477388.2
2007-04-01,483084.2
2007-07-01,487778.3
2007-10-01,491077.4
2008-01-01,499087.2
2008-04-01,498969.7
2008-07-01,498175.1
2008-10-01,493041.1
2009-01-01,482149.9
2009-04-01,482513.8
2009-07-01,483392.1
2009-10-01,488846.5
2010-01-01,492011.7
2010-04-01,496855.8
2010-07-01,501622.7
2010-10-01,503505.7
2011-01-01,512550.9
2011-04-01,513474.5
2011-07-01,515754.2
2011-10-01,519345.0
2012-01-01,520595.3
2012-04-01,520614.0
2012-07-01,523325.7
2012-10-01,523355.5
2013-01-01,526332.4
2013-04-01,531731.2
2013-07-01,530979.4
2013-10-01,533876.1
2014-01-01,535488.8
2014-04-01,537434.9
2014-07-01,541506.0
2014-10-01,542282.3
2015-01-01,546906.9
2015-04-01,548670.8
2015-07-01,552421.5
2015-10-01,554638.3
2016-01-01,557676.4
2016-04-01,555289.3
2016-07-01,557158.3
2016-10-01,560319.8
2017-01-01,565339.1
2017-04-01,571883.7
2017-07-01,576323.3
2017-10-01,581019.8
2018-01-01,583318.6
2018-04-01,584868.0
2018-07-01,591380.6
2018-10-01,597379.0
2019-01-01,604005.9
2019-04-01,609186.3
2019-07-01,611616.1
2019-10-01,610147.5
2020-01-01,586854.7
2020-04-01,532128.3
2020-07-01,596900.6
2020-10-01,601197.6
2021-01-01,606982.7
2021-04-01,617723.5
2021-07-01,637208.9
2021-10-01,643640.2
2022-01-01,649710.9
2022-04-01,656161.9
2022-07-01,668783.1
2022-10-01,679422.6
2023-01-01,690958.3
2023-04-01,704864.8
2023-07-01,710582.0
2023-10-01,719905.8
2024-01-01,723441.2
2024-04-01,726514.4
2024-07-01,736111.4
2024-10-01,738817.8
2025-01-01,742224.7
