date,value
1970-01-01,8.957927999999999
1970-04-01,9.201619
1970-07-01,9.345517999999998
1970-10-01,9.531077
1971-01-01,9.762148
1971-04-01,10.08718
1971-07-01,10.22542
1971-10-01,10.3354
1972-01-01,10.47508
1972-04-01,10.69228
1972-07-01,10.85827
1972-10-01,11.14293
1973-01-01,11.268130000000001
1973-04-01,11.63757
1973-07-01,11.83447
1973-10-01,12.14972
1974-01-01,12.4714
1974-04-01,13.235520000000001
1974-07-01,13.55406
1974-10-01,14.112689999999999
1975-01-01,14.64993
1975-04-01,16.11306
1975-07-01,16.89963
1975-10-01,17.48207
1976-01-01,17.93856
1976-04-01,18.5736
1976-07-01,19.03311
1976-10-01,19.696939999999998
1977-01-01,20.68546
1977-04-01,21.61136
1977-07-01,22.07614
1977-10-01,22.53302
1978-01-01,22.96679
1978-04-01,23.61326
1978-07-01,24.08521
1978-10-01,24.58299
1979-01-01,25.24233
1979-04-01,26.15778
1979-07-01,27.813640000000003
1979-10-01,28.61549
1980-01-01,30.0736
1980-04-01,31.8622
1980-07-01,32.445209999999996
1980-10-01,33.10816
1981-01-01,33.69596
1981-04-01,35.38965
1981-07-01,35.81078
1981-10-01,36.75873
1982-01-01,37.30892
1982-04-01,38.48778
1982-07-01,38.66491
1982-10-01,38.8172
1983-01-01,38.94882
1983-04-01,39.88664
1983-07-01,40.39927
1983-10-01,40.81811
1984-01-01,40.99304
1984-04-01,41.87342
1984-07-01,42.4557
1984-10-01,43.08863
1985-01-01,43.567370000000004
1985-04-01,45.17153
1985-07-01,45.455090000000006
1985-10-01,45.7663
1986-01-01,46.11674
1986-04-01,47.00887
1986-07-01,47.134859999999996
1986-10-01,47.84344
1987-01-01,48.351620000000004
1987-04-01,49.20146
1987-07-01,49.476440000000004
1987-10-01,50.09563
1988-01-01,50.29803
1988-04-01,51.62851
1988-07-01,52.46383
1988-10-01,53.760659999999994
1989-01-01,54.63511
1989-04-01,56.13701999999999
1989-07-01,56.74751
1989-10-01,57.912180000000006
1990-01-01,58.8774
1990-04-01,61.85499
1990-07-01,62.830119999999994
1990-10-01,63.740669999999994
1991-01-01,64.23943
1991-04-01,65.3578
1991-07-01,65.63239
1991-10-01,66.38264000000001
1992-01-01,66.75358
1992-04-01,68.37791
1992-07-01,68.51424
1992-10-01,68.72976
1993-01-01,67.95635
1993-04-01,69.05354
1993-07-01,69.36713
1993-10-01,69.79153000000001
1994-01-01,69.77096
1994-04-01,70.90586
1994-07-01,70.90514
1994-10-01,71.53073
1995-01-01,71.94779
1995-04-01,73.35644
1995-07-01,73.53499000000001
1995-10-01,73.70184
1996-01-01,73.80672
1996-04-01,74.71335
1996-07-01,74.81409000000001
1996-10-01,75.48566
1997-01-01,75.28419
1997-04-01,76.09009
1997-07-01,76.15725
1997-10-01,76.89599
1998-01-01,76.5602
1998-04-01,77.33251
1998-07-01,77.16462
1998-10-01,77.76904
1999-01-01,77.3661
1999-04-01,78.0041
1999-07-01,77.6683
1999-10-01,78.07125
2000-01-01,77.43325
2000-04-01,77.97051
2000-07-01,77.6683
2000-10-01,78.27273000000001
2001-01-01,77.80261999999999
2001-04-01,78.77641
2001-07-01,78.87715
2001-10-01,79.21294
2002-01-01,79.04504
2002-04-01,79.81736
2002-07-01,79.95168000000001
2002-10-01,80.52252
2003-01-01,80.28747
2003-04-01,80.82474
2003-07-01,80.95905
2003-10-01,81.362
2004-01-01,81.16051999999999
2004-04-01,81.73137
2004-07-01,81.76495
2004-10-01,82.23505
2005-01-01,82.2
2005-04-01,82.9
2005-07-01,83.2
2005-10-01,83.6
2006-01-01,83.6
2006-04-01,84.3
2006-07-01,84.5
2006-10-01,85.2
2007-01-01,85.2
2007-04-01,86.0
2007-07-01,86.2
2007-10-01,86.7
2008-01-01,86.6
2008-04-01,87.6
2008-07-01,88.1
2008-10-01,88.4
2009-01-01,88.2
2009-04-01,89.1
2009-07-01,89.5
2009-10-01,89.8
2010-01-01,89.9
2010-04-01,90.8
2010-07-01,91.1
2010-10-01,91.7
2011-01-01,92.3
2011-04-01,93.3
2011-07-01,93.7
2011-10-01,94.3
2012-01-01,94.4
2012-04-01,95.2
2012-07-01,95.5
2012-10-01,96.4
2013-01-01,96.4
2013-04-01,97.1
2013-07-01,97.3
2013-10-01,98.0
2014-01-01,97.9
2014-04-01,98.8
2014-07-01,99.0
2014-10-01,99.4
2015-01-01,99.2
2015-04-01,99.8
2015-07-01,100.2
2015-10-01,100.7
2016-01-01,100.7
2016-04-01,101.4
2016-07-01,101.8
2016-10-01,102.5
2017-01-01,102.6
2017-04-01,103.8
2017-07-01,104.4
2017-10-01,104.9
2018-01-01,104.9
2018-04-01,105.8
2018-07-01,106.3
2018-10-01,106.8
2019-01-01,106.8
2019-04-01,107.6
2019-07-01,108.0
2019-10-01,108.5
2020-01-01,108.5
2020-04-01,109.1
2020-07-01,109.5
2020-10-01,110.0
2021-01-01,110.0
2021-04-01,111.2
2021-07-01,112.3
2021-10-01,113.9
2022-01-01,115.0
2022-04-01,117.1
2022-07-01,118.7
2022-10-01,120.5
2023-01-01,121.4
2023-04-01,124.6
2023-07-01,125.8
2023-10-01,126.9
2024-01-01,127.3
2024-04-01,129.9
2024-07-01,131.1
2024-10-01,132.3
