date,value
1955-01-01,16.59516
1955-04-01,16.62315
1955-07-01,16.63715
1955-10-01,16.51848
1956-01-01,16.522560000000002
1956-04-01,16.7279
1956-07-01,16.7394
1956-10-01,16.74338
1957-01-01,16.79279
1957-04-01,17.052529999999997
1957-07-01,17.24845
1957-10-01,16.98636
1958-01-01,16.87473
1958-04-01,16.97748
1958-07-01,17.12165
1958-10-01,17.11609
1959-01-01,17.04509
1959-04-01,17.19479
1959-07-01,17.39419
1959-10-01,17.50617
1960-01-01,17.62088
1960-04-01,17.79504
1960-07-01,17.896829999999998
1960-10-01,17.99452
1961-01-01,18.25055
1961-04-01,18.47851
1961-07-01,18.89144
1961-10-01,19.46637
1962-01-01,19.68741
1962-04-01,19.98434
1962-07-01,20.20363
1962-10-01,20.4364
1963-01-01,20.98256
1963-04-01,21.41145
1963-07-01,21.569129999999998
1963-10-01,21.70176
1964-01-01,21.794810000000002
1964-04-01,22.22788
1964-07-01,22.37988
1964-10-01,22.89091
1965-01-01,23.25819
1965-04-01,23.7944
1965-07-01,23.88275
1965-10-01,24.39245
1966-01-01,24.754279999999998
1966-04-01,25.23453
1966-07-01,25.32181
1966-10-01,25.5586
1967-01-01,25.9496
1967-04-01,26.107879999999998
1967-07-01,26.22172
1967-10-01,26.9525
1968-01-01,27.31107
1968-04-01,27.5745
1968-07-01,27.8222
1968-10-01,28.342209999999998
1969-01-01,28.46051
1969-04-01,29.04295
1969-07-01,29.618909999999996
1969-10-01,30.08442
1970-01-01,30.9949
1970-04-01,31.58975
1970-07-01,31.84362
1970-10-01,32.642959999999995
1971-01-01,33.08805
1971-04-01,33.891329999999996
1971-07-01,34.24935
1971-10-01,34.70005
1972-01-01,34.968309999999995
1972-04-01,35.78483
1972-07-01,36.1402
1972-10-01,36.6602
1973-01-01,37.50719
1973-04-01,39.45814
1973-07-01,40.69278
1973-10-01,42.31558
1974-01-01,45.45087
1974-04-01,47.51886
1974-07-01,48.988479999999996
1974-10-01,50.9315
1975-01-01,51.82959
1975-04-01,53.502880000000005
1975-07-01,54.11261999999999
1975-10-01,55.28496
1976-01-01,56.6841
1976-04-01,58.717380000000006
1976-07-01,59.40541999999999
1976-10-01,60.88417
1977-01-01,61.875690000000006
1977-04-01,63.860780000000005
1977-07-01,64.28455
1977-10-01,65.08434
1978-01-01,65.44893
1978-04-01,67.07683
1978-07-01,67.57382
1978-10-01,68.32518
1979-01-01,68.36428000000001
1979-04-01,69.63701999999999
1979-07-01,69.94141
1979-10-01,70.84739
1980-01-01,71.58395
1980-04-01,73.6697
1980-07-01,74.54545999999999
1980-10-01,75.61527
1981-01-01,75.82925
1981-04-01,77.32981
1981-07-01,77.6844
1981-10-01,78.68929
1982-01-01,78.45129
1982-04-01,79.66716
1982-07-01,79.93406999999999
1982-10-01,80.87411999999999
1983-01-01,80.35598
1983-04-01,81.59188
1983-07-01,81.56175999999999
1983-10-01,82.69646
1984-01-01,82.48849
1984-04-01,83.69188
1984-07-01,83.75237
1984-10-01,84.94233
1985-01-01,84.82207
1985-04-01,85.86953000000001
1985-07-01,86.02123
1985-10-01,86.63663000000001
1986-01-01,86.42666
1986-04-01,87.32874
1986-07-01,87.34164
1986-10-01,87.77466
1987-01-01,87.49224
1987-04-01,88.41897
1987-07-01,88.44582
1987-10-01,88.82056
1988-01-01,88.39999
1988-04-01,89.19559
1988-07-01,89.18743
1988-10-01,89.84121999999999
1989-01-01,89.60692
1989-04-01,91.73325
1989-07-01,91.86841
1989-10-01,92.4782
1990-01-01,92.4566
1990-04-01,93.86553
1990-07-01,93.95263
1990-10-01,94.87246999999999
1991-01-01,94.9828
1991-04-01,96.33405
1991-07-01,96.48461999999999
1991-10-01,97.42857
1992-01-01,97.31571
1992-04-01,99.02360999999999
1992-07-01,98.8617
1992-10-01,99.51456
1993-01-01,99.00834
1993-04-01,100.3217
1993-07-01,100.3235
1993-10-01,100.6989
1994-01-01,100.0512
1994-04-01,101.3203
1994-07-01,101.0478
1994-10-01,101.5731
1995-01-01,101.0271
1995-04-01,101.6651
1995-07-01,101.5187
1995-10-01,101.9242
1996-01-01,101.3529
1996-04-01,102.1965
1996-07-01,101.9191
1996-10-01,102.3675
1997-01-01,101.7931
1997-04-01,103.8918
1997-07-01,103.904
1997-10-01,104.8083
1998-01-01,103.9338
1998-04-01,104.5861
1998-07-01,104.2571
1998-10-01,104.6279
1999-01-01,103.8265
1999-04-01,104.5456
1999-07-01,104.1511
1999-10-01,104.4274
2000-01-01,103.5513
2000-04-01,103.9262
2000-07-01,103.6603
2000-10-01,103.3802
2001-01-01,102.56200000000001
2001-04-01,102.9858
2001-07-01,102.8384
2001-10-01,102.7338
2002-01-01,101.8241
2002-04-01,102.2855
2002-07-01,102.0837
2002-10-01,101.98100000000001
2003-01-01,101.2803
2003-04-01,101.8505
2003-07-01,101.9344
2003-10-01,101.7929
2004-01-01,100.9254
2004-04-01,101.3728
2004-07-01,101.3984
2004-10-01,101.3065
2005-01-01,100.6611
2005-04-01,101.0523
2005-07-01,100.9229
2005-10-01,100.8324
2006-01-01,100.1443
2006-04-01,100.6416
2006-07-01,100.5883
2006-10-01,100.6709
2007-01-01,99.89877
2007-04-01,100.4277
2007-07-01,100.3647
2007-10-01,100.5228
2008-01-01,100.0192
2008-04-01,100.5044
2008-07-01,100.7775
2008-10-01,100.7812
2009-01-01,99.86761
2009-04-01,100.0357
2009-07-01,99.7604
2009-10-01,99.58771999999999
2010-01-01,99.03804000000001
2010-04-01,98.72858000000001
2010-07-01,98.20272
2010-10-01,98.43234
2011-01-01,97.8244
2011-04-01,97.90133
2011-07-01,97.77164
2011-10-01,97.45525
2012-01-01,97.25215
2012-04-01,97.52472
2012-07-01,97.1896
2012-10-01,96.96321
2013-01-01,96.52431999999999
2013-04-01,97.18926
2013-07-01,97.27551
2013-10-01,97.52744
2014-01-01,97.30173
2014-04-01,99.50571
2014-07-01,99.64862
2014-10-01,99.72525999999999
2015-01-01,99.39574
2015-04-01,100.0215
2015-07-01,100.1804
2015-10-01,100.4024
2016-01-01,99.97736
2016-04-01,100.5601
2016-07-01,100.3746
2016-10-01,100.52600000000001
2017-01-01,99.93975999999999
2017-04-01,100.3255
2017-07-01,100.2776
2017-10-01,100.5028
2018-01-01,100.1543
2018-04-01,100.4436
2018-07-01,100.4115
2018-10-01,100.7029
2019-01-01,100.4951
2019-04-01,100.8166
2019-07-01,100.8123
2019-10-01,101.3396
2020-01-01,101.1399
2020-04-01,101.0454
2020-07-01,100.8064
2020-10-01,100.8606
2021-01-01,101.1936
2021-04-01,100.0012
2021-07-01,
2021-10-01,
2022-01-01,
