date,value
1994-01-01,510105.8
1994-04-01,509037.9
1994-07-01,512984.4
1994-10-01,511572.6
1995-01-01,514910.8
1995-04-01,518788.7
1995-07-01,525374.7
1995-10-01,527014.4
1996-01-01,529020.8
1996-04-01,536054.7
1996-07-01,536114.0
1996-10-01,541133.6
1997-01-01,542160.3
1997-04-01,544086.7
1997-07-01,544017.9
1997-10-01,544961.6
1998-01-01,537989.5
1998-04-01,534820.3
1998-07-01,533895.1
1998-10-01,539284.5
1999-01-01,529068.1
1999-04-01,529021.3
1999-07-01,528591.0
1999-10-01,527858.9
2000-01-01,535138.3
2000-04-01,535358.6
2000-07-01,534438.8
2000-10-01,537842.0
2001-01-01,542554.8
2001-04-01,534253.3
2001-07-01,527025.5
2001-10-01,523925.3
2002-01-01,525462.2
2002-04-01,524239.1
2002-07-01,524193.6
2002-10-01,524421.1
2003-01-01,521370.2
2003-04-01,524524.9
2003-07-01,524374.3
2003-10-01,526399.6
2004-01-01,529374.1
2004-04-01,527643.4
2004-07-01,530487.5
2004-10-01,529912.5
2005-01-01,529919.1
2005-04-01,531326.5
2005-07-01,534598.4
2005-10-01,534734.5
2006-01-01,534546.4
2006-04-01,533995.8
2006-07-01,532259.9
2006-10-01,539894.5
2007-01-01,541960.8
2007-04-01,542058.3
2007-07-01,536491.4
2007-10-01,536793.6
2008-01-01,537624.6
2008-04-01,533624.2
2008-07-01,523208.6
2008-10-01,516898.4
2009-01-01,492250.8
2009-04-01,497861.5
2009-07-01,493598.5
2009-10-01,496495.5
2010-01-01,501521.6
2010-04-01,504931.2
2010-07-01,510929.6
2010-10-01,505330.8
2011-01-01,498672.5
2011-04-01,490657.3
2011-07-01,501084.8
2011-10-01,500292.6
2012-01-01,507434.3
2012-04-01,500154.6
2012-07-01,497587.7
2012-10-01,497284.9
2013-01-01,502903.4
2013-04-01,507524.8
2013-07-01,512902.2
2013-10-01,512545.8
2014-01-01,516551.4
2014-04-01,517907.2
2014-07-01,518277.8
2014-10-01,522159.5
2015-01-01,534685.1
2015-04-01,538161.5
2015-07-01,539918.4
2015-10-01,539345.4
2016-01-01,545271.6
2016-04-01,543353.5
2016-07-01,543594.0
2016-10-01,544547.1
2017-01-01,547679.7
2017-04-01,550587.0
2017-07-01,557112.8
2017-10-01,556776.7
2018-01-01,558422.4
2018-04-01,558941.8
2018-07-01,555357.0
2018-10-01,553428.6
2019-01-01,558817.8
2019-04-01,560927.2
2019-07-01,561471.8
2019-10-01,550057.5
2020-01-01,554523.1
2020-04-01,513957.5
2020-07-01,540208.6
2020-10-01,548894.6
2021-01-01,551105.4
2021-04-01,554138.7
2021-07-01,551262.3
2021-10-01,556380.1
2022-01-01,556581.6
2022-04-01,560670.7
2022-07-01,557621.4
2022-10-01,566959.8
2023-01-01,582666.3
2023-04-01,594386.7
2023-07-01,594371.2
2023-10-01,595947.5
2024-01-01,595448.2
2024-04-01,608246.3
2024-07-01,612754.4
2024-10-01,620455.7
