date,value
1987-04-01,15788000000.0
1987-07-01,16099000000.0
1987-10-01,16367000000.0
1988-01-01,16887000000.0
1988-04-01,16846000000.0
1988-07-01,17910000000.0
1988-10-01,17736000000.0
1989-01-01,18105000000.0
1989-04-01,18383000000.0
1989-07-01,18073000000.0
1989-10-01,18944000000.0
1990-01-01,19170000000.0
1990-04-01,18858000000.0
1990-07-01,19195000000.0
1990-10-01,19505000000.0
1991-01-01,18568000000.0
1991-04-01,18558000000.0
1991-07-01,19120000000.0
1991-10-01,18994000000.0
1992-01-01,19305000000.0
1992-04-01,19485000000.0
1992-07-01,18973000000.0
1992-10-01,19515000000.0
1993-01-01,20291000000.0
1993-04-01,20482000000.0
1993-07-01,20930000000.0
1993-10-01,21148000000.0
1994-01-01,21897000000.0
1994-04-01,22034000000.0
1994-07-01,22329000000.0
1994-10-01,22829000000.0
1995-01-01,23104000000.0
1995-04-01,23614000000.0
1995-07-01,23818000000.0
1995-10-01,24209000000.0
1996-01-01,24581000000.0
1996-04-01,24990000000.0
1996-07-01,25435000000.0
1996-10-01,25449000000.0
1997-01-01,25233000000.0
1997-04-01,26041000000.0
1997-07-01,26460000000.0
1997-10-01,26118000000.0
1998-01-01,26217000000.0
1998-04-01,26193000000.0
1998-07-01,26352000000.0
1998-10-01,27065000000.0
1999-01-01,27147000000.0
1999-04-01,27648000000.0
1999-07-01,28118000000.0
1999-10-01,28284000000.0
2000-01-01,29129000000.0
2000-04-01,29160000000.0
2000-07-01,29594000000.0
2000-10-01,30433000000.0
2001-01-01,30574000000.0
2001-04-01,31634000000.0
2001-07-01,31529000000.0
2001-10-01,32529000000.000004
2002-01-01,32965000000.000004
2002-04-01,32915000000.0
2002-07-01,33810000000.000004
2002-10-01,34009000000.0
2003-01-01,34435000000.0
2003-04-01,34962000000.0
2003-07-01,35648000000.0
2003-10-01,36449000000.0
2004-01-01,37436000000.0
2004-04-01,38044000000.0
2004-07-01,38636000000.0
2004-10-01,38911000000.0
2005-01-01,38994000000.0
2005-04-01,40277000000.0
2005-07-01,40793000000.0
2005-10-01,40699000000.0
2006-01-01,41144000000.0
2006-04-01,41786000000.0
2006-07-01,42294000000.0
2006-10-01,43656000000.0
2007-01-01,44166000000.0
2007-04-01,45259000000.0
2007-07-01,46592000000.0
2007-10-01,47178000000.0
2008-01-01,47556000000.0
2008-04-01,47487000000.0
2008-07-01,46906000000.0
2008-10-01,47500000000.0
2009-01-01,47456000000.0
2009-04-01,47482000000.0
2009-07-01,48262000000.0
2009-10-01,48670000000.0
2010-01-01,49828000000.0
2010-04-01,50107000000.0
2010-07-01,50434000000.0
2010-10-01,51144000000.0
2011-01-01,51598000000.0
2011-04-01,52482000000.0
2011-07-01,53314000000.0
2011-10-01,53613000000.0
2012-01-01,53596000000.0
2012-04-01,54398000000.0
2012-07-01,53905000000.0
2012-10-01,54054000000.0
2013-01-01,55149000000.0
2013-04-01,55692000000.0
2013-07-01,57555000000.0
2013-10-01,59595000000.0
2014-01-01,59823000000.0
2014-04-01,59961000000.0
2014-07-01,60312000000.0
2014-10-01,60814000000.0
2015-01-01,61595000000.0
2015-04-01,62928000000.0
2015-07-01,63561000000.0
2015-10-01,63730000000.0
2016-01-01,65185000000.0
2016-04-01,66263000000.00001
2016-07-01,67160000000.0
2016-10-01,68075999999.99999
2017-01-01,69838000000.0
2017-04-01,70486000000.0
2017-07-01,72193000000.0
2017-10-01,73843000000.0
2018-01-01,74125000000.0
2018-04-01,75400000000.0
2018-07-01,76070000000.0
2018-10-01,76795000000.0
2019-01-01,77889000000.0
2019-04-01,79402000000.0
2019-07-01,80742000000.0
2019-10-01,81547000000.0
2020-01-01,81364000000.0
2020-04-01,73743000000.0
2020-07-01,84250000000.0
2020-10-01,83986000000.0
2021-01-01,85937000000.0
2021-04-01,88869000000.0
2021-07-01,87334000000.0
2021-10-01,90739000000.0
2022-01-01,91527000000.0
2022-04-01,94356000000.0
2022-07-01,97350000000.0
2022-10-01,97789000000.0
2023-01-01,98658000000.0
2023-04-01,101687000000.0
2023-07-01,102903000000.0
