date,value
1955-01-01,4666.0
1955-04-01,4688.0
1955-07-01,4862.0
1955-10-01,4953.0
1956-01-01,5086.0
1956-04-01,5155.0
1956-07-01,5235.0
1956-10-01,5368.0
1957-01-01,5380.0
1957-04-01,5461.0
1957-07-01,5578.0
1957-10-01,5685.0
1958-01-01,5800.0
1958-04-01,5724.0
1958-07-01,5824.0
1958-10-01,5872.0
1959-01-01,5885.0
1959-04-01,6079.0
1959-07-01,6103.0
1959-10-01,6321.0
1960-01-01,6425.0
1960-04-01,6484.0
1960-07-01,6578.0
1960-10-01,6714.0
1961-01-01,6881.0
1961-04-01,6881.0
1961-07-01,7119.0
1961-10-01,7037.0
1962-01-01,7132.0
1962-04-01,7307.0
1962-07-01,7381.0
1962-10-01,7415.0
1963-01-01,7365.0
1963-04-01,7750.0
1963-07-01,7869.0
1963-10-01,8115.0
1964-01-01,8142.0
1964-04-01,8433.0
1964-07-01,8618.0
1964-10-01,8854.0
1965-01-01,9019.0
1965-04-01,9062.0
1965-07-01,9283.0
1965-10-01,9464.0
1966-01-01,9606.0
1966-04-01,9772.0
1966-07-01,9956.0
1966-10-01,10060.0
1967-01-01,10158.0
1967-04-01,10413.0
1967-07-01,10483.0
1967-10-01,10619.0
1968-01-01,11097.0
1968-04-01,11230.0
1968-07-01,11586.0
1968-10-01,11882.0
1969-01-01,12086.0
1969-04-01,12267.0
1969-07-01,12541.0
1969-10-01,12867.0
1970-01-01,13220.0
1970-04-01,13803.0
1970-07-01,14253.0
1970-10-01,14765.0
1971-01-01,14986.0
1971-04-01,15497.0
1971-07-01,15993.0
1971-10-01,16394.0
1972-01-01,16599.0
1972-04-01,17388.0
1972-07-01,17759.0
1972-10-01,18832.0
1973-01-01,20046.0
1973-04-01,19874.0
1973-07-01,20558.0
1973-10-01,21315.0
1974-01-01,21132.0
1974-04-01,22651.0
1974-07-01,23896.0
1974-10-01,24994.0
1975-01-01,26814.0
1975-04-01,28129.0
1975-07-01,29260.0
1975-10-01,30890.0
1976-01-01,32449.0
1976-04-01,33322.0
1976-07-01,34550.0
1976-10-01,36678.0
1977-01-01,38038.0
1977-04-01,39244.0
1977-07-01,40339.0
1977-10-01,42165.0
1978-01-01,44140.0
1978-04-01,45905.0
1978-07-01,47207.0
1978-10-01,48906.0
1979-01-01,50459.0
1979-04-01,53966.0
1979-07-01,56767.0
1979-10-01,59789.0
1980-01-01,62107.0
1980-04-01,63704.0
1980-07-01,66021.0
1980-10-01,68138.0
1981-01-01,69940.0
1981-04-01,71334.0
1981-07-01,73310.0
1981-10-01,75596.0
1982-01-01,77468.0
1982-04-01,78993.0
1982-07-01,80430.0
1982-10-01,82667.0
1983-01-01,85727.0
1983-04-01,86288.0
1983-07-01,88637.0
1983-10-01,90695.0
1984-01-01,91663.0
1984-04-01,93433.0
1984-07-01,94862.0
1984-10-01,97962.0
1985-01-01,99412.0
1985-04-01,103208.0
1985-07-01,105169.0
1985-10-01,106841.0
1986-01-01,108753.0
1986-04-01,110079.0
1986-07-01,111989.0
1986-10-01,115779.0
1987-01-01,118136.0
1987-04-01,121739.0
1987-07-01,127119.0
1987-10-01,129815.0
1988-01-01,133283.0
1988-04-01,136630.0
1988-07-01,140801.0
1988-10-01,144969.0
1989-01-01,148623.0
1989-04-01,151262.0
1989-07-01,155370.0
1989-10-01,159376.0
1990-01-01,163056.0
1990-04-01,166719.0
1990-07-01,170068.0
1990-10-01,170954.0
1991-01-01,173192.0
1991-04-01,175822.0
1991-07-01,177280.0
1991-10-01,179590.0
1992-01-01,181438.0
1992-04-01,181889.0
1992-07-01,182558.0
1992-10-01,184989.0
1993-01-01,189580.0
1993-04-01,189802.0
1993-07-01,193552.0
1993-10-01,196921.0
1994-01-01,199796.0
1994-04-01,200691.0
1994-07-01,203292.0
1994-10-01,207015.0
1995-01-01,208657.0
1995-04-01,210748.0
1995-07-01,214616.0
1995-10-01,217824.0
1996-01-01,221433.0
1996-04-01,226187.0
1996-07-01,229912.0
1996-10-01,232461.0
1997-01-01,232749.0
1997-04-01,235998.0
1997-07-01,243388.0
1997-10-01,241270.0
1998-01-01,245958.0
1998-04-01,248081.0
1998-07-01,250560.0
1998-10-01,253902.0
1999-01-01,255903.0
1999-04-01,258404.0
1999-07-01,261604.0
1999-10-01,267337.0
2000-01-01,272305.0
2000-04-01,273916.0
2000-07-01,276174.0
2000-10-01,278357.0
2001-01-01,282889.0
2001-04-01,286728.0
2001-07-01,288166.0
2001-10-01,288352.0
2002-01-01,292486.0
2002-04-01,295516.0
2002-07-01,299230.0
2002-10-01,304207.0
2003-01-01,307485.0
2003-04-01,312948.0
2003-07-01,317463.0
2003-10-01,320438.0
2004-01-01,322778.0
2004-04-01,329732.0
2004-07-01,331592.0
2004-10-01,338535.0
2005-01-01,341254.0
2005-04-01,348491.0
2005-07-01,352001.0
2005-10-01,357003.0
2006-01-01,361213.0
2006-04-01,367042.0
2006-07-01,370883.0
2006-10-01,372900.0
2007-01-01,376958.0
2007-04-01,386144.0
2007-07-01,389291.0
2007-10-01,392244.0
2008-01-01,397800.0
2008-04-01,400685.0
2008-07-01,399994.0
2008-10-01,395121.0
2009-01-01,386874.0
2009-04-01,386553.0
2009-07-01,388596.0
2009-10-01,386779.0
2010-01-01,396176.0
2010-04-01,401223.0
2010-07-01,404365.0
2010-10-01,406789.0
2011-01-01,414806.0
2011-04-01,412364.0
2011-07-01,416115.0
2011-10-01,419305.0
2012-01-01,424540.0
